player_name,gp,g,a,pim,plus_minus
 Gatineau Olympiques , 11 , 1 , 2 , 6 , 0 
Jordan King (RW), 51 , 2 , 4 , 2 , -15 
David Henley (D), 64 , 2 , 4 , 123 , -17 
Samuel Hunter (D), 25 , 1 , 5 , 30 , 0 
Bailey Webster (D), 54 , 1 , 5 , 61 , -7 
Tobie Bisson (D), 42 , 0 , 6 , 14 , 4 
Olivier Garneau (LW), 51 , 3 , 2 , 14 , -12 
Samuel Hould (D), 24 , 2 , 3 , 17 , 7 
Justin Samson (C), 27 , 2 , 3 , 6 , -1 
Vincent Lavoie (LW), 31 , 2 , 3 , 8 , 0 
Brandon Vuic (LW), 46 , 2 , 3 , 103 , -8 
Evan Scott (D), 49 , 2 , 3 , 84 , 4 
Justin Doucet (LW), 61 , 2 , 3 , 124 , -19 
Zachary Taylor (D), 19 , 1 , 4 , 6 , 10 
Aaron Dutra (D), 38 , 1 , 4 , 26 , 22 
Matt Green (LW), 44 , 1 , 4 , 12 , -3 
Alexandre Coulombe (D), 52 , 1 , 4 , 32 , -7 
Martin-Olivier Cardinal (RW), 55 , 1 , 4 , 31 , -16 
Anthony Beaulieu (D), 60 , 1 , 4 , 67 , 4 
 Victoriaville Tigres , 37 , 1 , 3 , 53 , 1 
 Gatineau Olympiques , 23 , 0 , 1 , 14 , 3 
Julien Leduc (D), 17 , 0 , 5 , 18 , 3 
 Victoriaville Tigres , 9 , 0 , 3 , 12 , 4 
 Drummondville Voltigeurs , 8 , 0 , 2 , 6 , -1 
Francis Robichaud (D), 25 , 0 , 5 , 21 , -4 
Elijah Francis (D), 29 , 0 , 5 , 29 , -22 
Nicolas Latulippe (D), 68 , 0 , 5 , 61 , -8 
Colin MacSween (LW), 46 , 3 , 1 , 33 , -5 
 Blainville-Boisbriand Armada , 24 , 1 , 0 , 26 , -5 
 Cape Breton Screaming Eagles , 22 , 2 , 1 , 7 , 0 
Matt Nosella (D), 62 , 3 , 1 , 23 , 4 
Owen Bennington (LW), 66 , 2 , 2 , 75 , -16 
 Val-d'Or Foreurs , 33 , 2 , 2 , 30 , -7 
 Sherbrooke Phoenix , 33 , 0 , 0 , 45 , -9 
Antoine Dufort-Plante (C), 6 , 1 , 3 , 2 , 0 
 Blainville-Boisbriand Armada , 4 , 0 , 1 , 2 , -2 
 Drummondville Voltigeurs , 2 , 1 , 2 , 0 , 2 
Joey Sansoni (D), 24 , 1 , 3 , 32 , -15 
Simon Fortier (RW), 27 , 1 , 3 , 6 , -6 
Donovan Rehill (LW), 30 , 1 , 3 , 25 , -4 
Raphael Sawyer (RW), 35 , 1 , 3 , 8 , -8 
Marc-Antoine Germain (LW), 44 , 1 , 3 , 10 , -1 
Julien Proulx (LW/D), 45 , 1 , 3 , 77 , -3 
Félix Boivin (D), 16 , 0 , 4 , 2 , 3 
Xavier St-Pierre (D), 20 , 0 , 4 , 13 , 3 
Guillaume Vien (D), 34 , 0 , 4 , 28 , -2 
 Blainville-Boisbriand Armada , 14 , 0 , 3 , 12 , 5 
 Acadie-Bathurst Titan , 20 , 0 , 1 , 16 , -7 
Jacob Neveu (D), 59 , 0 , 4 , 15 , -13 
Chris Chaddock (C), 17 , 3 , 0 , 4 , -1 
Joey Brennan (LW), 3 , 2 , 1 , 0 , 0 
Louis-Philippe Simard (F/C), 20 , 2 , 1 , 2 , 2 
Ross MacDougall (D), 12 , 1 , 2 , 4 , 2 
Jean-François Lavoie (C), 15 , 1 , 2 , 8 , -1 
Danil Dolgushkin (D), 23 , 1 , 2 , 16 , 7 
Fraser Turner (D), 25 , 1 , 2 , 27 , 2 
Hunter Moreau (LW), 29 , 1 , 2 , 13 , -10 
Nicolas Jones-Gagné (LW), 33 , 1 , 2 , 0 , -4 
Félix-Antoine Bergeron (LW), 4 , 0 , 3 , 4 , 0 
Domenico Argento (D), 21 , 0 , 3 , 2 , -3 
Yan Dion (RW), 21 , 0 , 3 , 6 , 0 
Simon Boudreau (D), 22 , 0 , 3 , 22 , 7 
Nicolas Dumulong (D), 59 , 0 , 3 , 159 , -6 
Marc-Olivier Crevier-Morin (D), 15 , 2 , 0 , 15 , -3 
Lucas Thierus (RW), 28 , 2 , 0 , 8 , -1 
Anthony Patriarco (RW), 2 , 1 , 1 , 0 , 2 
Mathieu Nadeau (RW), 7 , 1 , 1 , 2 , 2 
 Victoriaville Tigres , 3 , 0 , 0 , 0 , -1 
 Val-d'Or Foreurs , 4 , 1 , 1 , 2 , 3 
Zack MacEwen (C/RW), 9 , 1 , 1 , 6 , 2 
Christopher Cochrane (C), 18 , 1 , 1 , 6 , -3 
Trevor Bush (D/LW), 23 , 1 , 1 , 2 , -7 
Yan Plourde (C), 30 , 1 , 1 , 8 , -11 
Morgan Adams-Moisan (RW), 32 , 1 , 1 , 67 , -3 
Justin Vachon (LW), 41 , 1 , 1 , 78 , -12 
Patrice Demuy (C), 43 , 1 , 1 , 22 , -7 
Matthew Cusson (RW), 6 , 0 , 2 , 7 , -1 
Joachim Vachon (LW), 7 , 0 , 2 , 2 , 2 
Benji Curtis (F), 7 , 0 , 2 , 7 , 3 
Gabriel Paquin (LW), 10 , 0 , 2 , 10 , -1 
Bruno-Carl Denis (D), 28 , 0 , 2 , 10 , -1 
Jimmy Huntington (C), 29 , 0 , 2 , 2 , -14 
Zack McFadden (D), 29 , 0 , 2 , 4 , 0 
Beau Kiss-Rusk (D), 30 , 0 , 2 , 52 , 14 
Vitali Abramov (RW/LW), 66 , 46 , 58 , 76 , 13 
Tyler Boland (C), 68 , 48 , 55 , 24 , 5 
François Beauchemin (RW), 69 , 45 , 52 , 76 , 45 
 Val-d'Or Foreurs , 39 , 27 , 28 , 44 , 12 
 Charlottetown Islanders , 30 , 18 , 24 , 32 , 33 
Filip Chlapík (C), 57 , 34 , 57 , 98 , 24 
Giovanni Fiore (LW/RW), 61 , 52 , 38 , 42 , 36 
Christophe Boivin (LW), 68 , 43 , 47 , 44 , 35 
Alexandre Goulet (C/LW), 68 , 39 , 50 , 58 , 17 
Matthew Highmore (C/W), 64 , 34 , 55 , 46 , 34 
Maxime Fortier (RW), 68 , 32 , 55 , 20 , -1 
Nico Hischier (C), 57 , 38 , 48 , 24 , 20 
Alex Barré-Boulet (C), 65 , 29 , 52 , 42 , 10 
 Drummondville Voltigeurs , 37 , 17 , 31 , 26 , 4 
 Blainville-Boisbriand Armada , 28 , 12 , 21 , 16 , 6 
Antoine Waked (RW), 67 , 39 , 41 , 67 , 41 
Nicolas Roy (C/RW), 53 , 36 , 44 , 46 , 30 
Mathieu Joseph (RW/LW), 54 , 36 , 44 , 57 , 37 
Jean-Christophe Beaudin (C/RW), 65 , 30 , 50 , 33 , 32 
Spencer Smallman (RW), 60 , 30 , 49 , 35 , 27 
Joey Ratelle (LW), 62 , 41 , 36 , 113 , 11 
 Drummondville Voltigeurs , 30 , 24 , 14 , 73 , 0 
 Chicoutimi Saguenéens , 32 , 17 , 22 , 40 , 11 
Dylan Montcalm (LW), 62 , 16 , 60 , 58 , 4 
Dennis Yan (LW/RW), 64 , 46 , 29 , 52 , 23 
Samuel Girard (D), 59 , 9 , 66 , 29 , 26 
Kameron Kielly (RW/C), 65 , 34 , 40 , 38 , 31 
Zack MacEwen (C/RW), 66 , 31 , 43 , 90 , 0 
Antoine Morand (C), 67 , 28 , 46 , 52 , 21 
Alex Dostie (C), 63 , 30 , 41 , 14 , 10 
 Gatineau Olympiques , 32 , 15 , 21 , 12 , -12 
 Charlottetown Islanders , 31 , 15 , 20 , 2 , 22 
Massimo Carozza (C/LW), 63 , 27 , 42 , 38 , 29 
Carl Neill (D), 67 , 13 , 56 , 46 , 21 
 Sherbrooke Phoenix , 36 , 10 , 36 , 34 , 2 
 Charlottetown Islanders , 31 , 3 , 20 , 12 , 19 
Vladimir Kuznetsov (LW/RW), 68 , 30 , 38 , 18 , 32 
Yakov Trenin (C/LW), 54 , 30 , 37 , 84 , 16 
Dmitri Zhukenov (C), 64 , 18 , 47 , 40 , -17 
Frédéric Allard (D), 63 , 14 , 51 , 42 , -3 
Thomas Grégoire (D), 66 , 10 , 54 , 26 , -19 
Ivan Kosorenkov (RW), 68 , 34 , 29 , 40 , 11 
Brandon Gignac (C/LW), 59 , 23 , 39 , 30 , 23 
Daniil Miromanov (D/RW), 68 , 22 , 40 , 20 , 6 
Julien Pelletier (LW/C), 65 , 29 , 32 , 54 , 0 
Jeffrey Truchon-Viel (LW), 63 , 35 , 25 , 117 , 6 
Hugo Roy (C), 68 , 34 , 26 , 4 , -16 
Alexis D'Aoust (RW), 50 , 29 , 31 , 36 , 44 
Daniel Sprong (RW), 31 , 32 , 27 , 8 , 29 
Ivan Chekhovich (LW), 60 , 26 , 33 , 14 , -3 
James Phelan (C), 68 , 26 , 33 , 85 , 18 
Drake Batherson (C/RW), 61 , 22 , 36 , 70 , 16 
Cameron Askew (RW), 68 , 27 , 29 , 38 , -8 
 Moncton Wildcats , 32 , 13 , 16 , 14 , -13 
 Shawinigan Cataractes , 36 , 14 , 13 , 24 , 5 
Peter Abbandonato (C), 64 , 19 , 37 , 26 , 23 
Samuel Asselin (C), 67 , 17 , 39 , 41 , 35 
Simon Bourque (D), 59 , 15 , 41 , 58 , 31 
 Rimouski Océanic , 29 , 8 , 20 , 32 , -1 
 Saint John Sea Dogs , 30 , 7 , 21 , 26 , 32 
Bokondji Imama (LW), 66 , 41 , 14 , 105 , 11 
Pierre-Luc Dubois (C/LW), 48 , 21 , 34 , 78 , 17 
 Cape Breton Screaming Eagles , 20 , 6 , 12 , 33 , 4 
 Blainville-Boisbriand Armada , 28 , 15 , 22 , 45 , 13 
Philipp Kurashev (C), 65 , 21 , 33 , 10 , -8 
Jake Coughler (C), 61 , 31 , 22 , 45 , -3 
 Charlottetown Islanders , 34 , 20 , 12 , 31 , -2 
 Halifax Mooseheads , 27 , 11 , 10 , 14 , -1 
Manuel Wiederer (RW/C), 60 , 29 , 24 , 29 , -2 
 Moncton Wildcats , 30 , 15 , 15 , 23 , -16 
 Rouyn-Noranda Huskies , 30 , 14 , 9 , 6 , 14 
Samuel Dove-McFalls (C), 65 , 17 , 36 , 57 , 21 
Alexandre Alain (C/RW), 54 , 29 , 23 , 60 , 7 
Mathieu Sévigny (LW/C), 58 , 25 , 27 , 70 , -7 
Yaroslav Alexeyev (LW), 60 , 24 , 28 , 29 , -15 
Gabriel Fontaine (C), 59 , 23 , 29 , 37 , 31 
Alexandre Fortin (LW), 52 , 22 , 30 , 14 , 18 
Jordan Martel (RW), 68 , 25 , 26 , 35 , -5 
Alexis Pépin (LW), 64 , 24 , 27 , 99 , -4 
Maxime Comtois (LW), 64 , 22 , 29 , 88 , -7 
Félix Lauzon (C), 51 , 21 , 30 , 43 , 16 
Mitchell Balmas (LW), 67 , 21 , 30 , 10 , 17 
 Charlottetown Islanders , 37 , 9 , 20 , 8 , 10 
 Gatineau Olympiques , 30 , 12 , 10 , 2 , 7 
Julien Gauthier (RW), 43 , 17 , 34 , 40 , 12 
 Val-d'Or Foreurs , 23 , 7 , 20 , 22 , 1 
 Saint John Sea Dogs , 20 , 10 , 14 , 18 , 11 
Daniel Del Paggio (RW), 66 , 15 , 36 , 22 , -13 
 Saint John Sea Dogs , 2 , 0 , 3 , 2 , -1 
 Gatineau Olympiques , 64 , 15 , 33 , 20 , -12 
Mathieu Boucher (LW), 67 , 15 , 36 , 34 , 26 
Nathan Noel (C), 52 , 24 , 26 , 82 , 19 
Rodrigo Abols (C), 52 , 18 , 32 , 43 , 16 
Vasili Glotov (C), 64 , 15 , 35 , 14 , 4 
Dawson Theede (C), 58 , 24 , 25 , 107 , 19 
Kelly Klima (RW), 66 , 22 , 27 , 72 , -14 
 Moncton Wildcats , 31 , 14 , 18 , 41 , -12 
 Chicoutimi Saguenéens , 35 , 8 , 9 , 31 , -2 
Martins Dzierkals (RW), 47 , 21 , 28 , 44 , 26 
D'Artagnan Joly (RW), 66 , 16 , 32 , 35 , -10 
Vincent Lanoue (D), 67 , 10 , 38 , 50 , 21 
Phélix Martineau (C), 64 , 28 , 19 , 93 , 2 
Matthew Boucher (LW), 51 , 27 , 20 , 59 , -13 
Pavel Koltygin (C), 65 , 22 , 25 , 44 , -28 
Joël Teasdale (LW), 60 , 18 , 29 , 25 , 22 
Nicolas Meloche (D), 61 , 16 , 31 , 73 , 33 
 Gatineau Olympiques , 26 , 7 , 14 , 38 , 0 
 Charlottetown Islanders , 35 , 9 , 17 , 35 , 33 
Guillaume Brisebois (D), 61 , 10 , 37 , 34 , 35 
Simon Chevrier (RW), 64 , 17 , 29 , 90 , -8 
Bruno-Carl Denis (D), 68 , 12 , 34 , 46 , 43 
Vincent Deslauriers (RW), 68 , 23 , 22 , 20 , 2 
Jordan Maher (RW), 64 , 19 , 26 , 24 , -8 
Samuel Laberge (LW), 40 , 18 , 27 , 33 , 8 
Charley Graaskamp (C), 61 , 14 , 31 , 62 , -22 
 Drummondville Voltigeurs , 34 , 9 , 18 , 30 , -18 
 Val-d'Or Foreurs , 27 , 5 , 13 , 32 , -4 
Thomas Chabot (D), 34 , 10 , 35 , 43 , 29 
Olivier Galipeau (D), 69 , 10 , 35 , 101 , 11 
 Val-d'Or Foreurs , 39 , 3 , 28 , 69 , 7 
 Chicoutimi Saguenéens , 30 , 7 , 7 , 32 , 4 
Jake Smith (RW), 66 , 22 , 22 , 25 , -16 
 Chicoutimi Saguenéens , 37 , 11 , 15 , 14 , -15 
 Val-d'Or Foreurs , 29 , 11 , 7 , 11 , -1 
Connor Bramwell (LW), 68 , 22 , 22 , 22 , 16 
T.J. Melancon (D), 67 , 19 , 25 , 30 , 10 
Nick Welsh (D), 67 , 10 , 34 , 46 , 22 
Marek Zachar (LW), 57 , 18 , 25 , 22 , -5 
Olivier LeBlanc (D), 58 , 10 , 33 , 46 , 10 
Mathieu Nadeau (RW), 47 , 23 , 19 , 26 , -3 
Ryan Verbeek (C/LW), 53 , 20 , 22 , 25 , 0 
 Chicoutimi Saguenéens , 27 , 11 , 5 , 10 , 2 
 Drummondville Voltigeurs , 26 , 9 , 17 , 15 , -2 
Maxim Mizyurin (C), 58 , 13 , 29 , 18 , 8 
Anderson MacDonald (LW), 50 , 29 , 12 , 38 , -19 
Connor Moynihan (LW/D), 55 , 21 , 20 , 93 , -5 
Simon Lafrance (C), 68 , 19 , 22 , 10 , -7 
Mathieu Ayotte (C), 39 , 18 , 23 , 28 , -4 
 Victoriaville Tigres , 14 , 5 , 6 , 10 , 0 
 Québec Remparts , 25 , 13 , 17 , 18 , -4 
Otto Somppi (C), 60 , 17 , 24 , 30 , -8 
Arnaud Durandeau (LW), 64 , 15 , 26 , 70 , -6 
Jakub Zboril (D), 50 , 9 , 32 , 44 , 19 
Nicolas Beaudin (D), 64 , 5 , 36 , 26 , -19 
Cavan Fitzgerald (D), 47 , 15 , 25 , 20 , 23 
Joseph Veleno (C), 45 , 13 , 27 , 18 , 8 
Charles-Édouard D'Astous (D), 67 , 13 , 27 , 40 , -18 
Cody Donaghey (D), 52 , 11 , 29 , 39 , -8 
 Charlottetown Islanders , 37 , 10 , 25 , 26 , -2 
 Sherbrooke Phoenix , 15 , 1 , 4 , 13 , -6 
Denis Mikhnin (RW), 59 , 20 , 19 , 38 , 10 
Jordan Ty Fournier (RW), 66 , 18 , 21 , 94 , 6 
Ross MacDougall (D), 63 , 10 , 29 , 53 , 2 
 Québec Remparts , 37 , 2 , 20 , 26 , -9 
 Cape Breton Screaming Eagles , 26 , 8 , 9 , 27 , 11 
Pierre-Olivier Joseph (D), 62 , 6 , 33 , 54 , 14 
Daniel Hardie (LW), 45 , 18 , 20 , 26 , 2 
Alexander Katerinakis (RW), 57 , 12 , 26 , 29 , 3 
Luke Green (D), 60 , 5 , 32 , 56 , -7 
 Saint John Sea Dogs , 27 , 2 , 13 , 22 , -3 
 Sherbrooke Phoenix , 33 , 3 , 19 , 34 , -4 
Luc Deschênes (D), 62 , 5 , 32 , 148 , 11 
Zachary Malatesta (D), 58 , 11 , 25 , 73 , 25 
 Moncton Wildcats , 25 , 3 , 5 , 39 , -2 
 Acadie-Bathurst Titan , 33 , 8 , 20 , 34 , 27 
Kevin Klima (LW/C), 61 , 8 , 28 , 74 , -13 
 Moncton Wildcats , 29 , 4 , 18 , 45 , -10 
 Chicoutimi Saguenéens , 32 , 4 , 10 , 29 , -3 
Pascal Corbeil (D), 67 , 4 , 32 , 6 , 17 
Derek Gentile (RW), 66 , 22 , 13 , 10 , -14 
Olivier Garneau (LW), 58 , 19 , 16 , 41 , -11 
Félix Boivin (D), 67 , 12 , 23 , 32 , 6 
Philippe Myers (D), 34 , 10 , 25 , 46 , 21 
Adam Cheezo (RW), 66 , 10 , 25 , 6 , 0 
Keith Getson (C), 61 , 17 , 17 , 34 , 18 
Adam Marsh (LW), 41 , 13 , 21 , 89 , 25 
 Val-d'Or Foreurs , 14 , 4 , 7 , 21 , 4 
 Charlottetown Islanders , 27 , 9 , 14 , 68 , 21 
Miguel Picard (C), 61 , 12 , 22 , 26 , 9 
Adam Holwell (D), 65 , 5 , 29 , 28 , 9 
 Moncton Wildcats , 32 , 1 , 12 , 14 , -15 
 Acadie-Bathurst Titan , 33 , 4 , 17 , 14 , 24 
Xavier Bouchard (D), 63 , 4 , 30 , 26 , -4 
Shawn Boudrias (RW), 58 , 17 , 16 , 12 , -4 
 Charlottetown Islanders , 26 , 5 , 7 , 8 , -5 
 Gatineau Olympiques , 32 , 12 , 9 , 4 , 1 
Samuel Bucek (LW), 52 , 12 , 21 , 26 , 1 
Guillaume Beaudoin (D), 61 , 7 , 26 , 35 , 19 
Ivan Kozlov (LW), 53 , 18 , 14 , 26 , -2 
Nathan Hudgin (LW), 60 , 17 , 15 , 76 , 5 
Justin Bernier (RW), 61 , 16 , 16 , 8 , 13 
Pascal Laberge (C), 46 , 12 , 20 , 35 , -11 
David Noël (D), 65 , 11 , 21 , 29 , -16 
 Chicoutimi Saguenéens , 36 , 3 , 11 , 23 , -7 
 Val-d'Or Foreurs , 29 , 8 , 10 , 6 , -9 
Frédéric Aubé (D), 59 , 9 , 23 , 84 , 10 
 Drummondville Voltigeurs , 28 , 4 , 16 , 49 , 4 
 Halifax Mooseheads , 31 , 5 , 7 , 35 , 6 
Leon Gawanke (D), 54 , 8 , 24 , 26 , 11 
Jared McIsaac (D), 59 , 4 , 28 , 60 , 7 
Benoit-Olivier Groulx (C), 62 , 17 , 14 , 34 , -18 
Antoine Dufort-Plante (C), 21 , 13 , 18 , 22 , 6 
Bradley Lalonde (D), 49 , 11 , 20 , 20 , -14 
Gregor MacLeod (C), 55 , 6 , 25 , 37 , 17 
Pascal Aquin (LW), 68 , 14 , 16 , 80 , 11 
Tyler Hylland (LW), 60 , 12 , 18 , 34 , 6 
Yvan Mongo (LW), 57 , 13 , 16 , 16 , 8 
Christian Huntley (D), 67 , 11 , 18 , 24 , -37 
Brad Kennedy (RW), 37 , 10 , 19 , 54 , 0 
Cole Reginato (F), 66 , 9 , 20 , 108 , 12 
Matteo Pietroniro (D), 63 , 6 , 23 , 84 , -13 
Jeffrey Durocher (C), 67 , 14 , 14 , 34 , -5 
Chris Chaddock (C), 40 , 13 , 15 , 8 , 1 
Matthew Grouchy (LW), 62 , 11 , 17 , 22 , 16 
Dmitri Buinitsky (C/RW), 51 , 8 , 20 , 23 , -5 
Jérémy Lauzon (D), 39 , 5 , 23 , 50 , 25 
Alex Breton (D), 67 , 3 , 25 , 42 , -9 
Carson MacKinnon (C), 65 , 13 , 14 , 20 , -14 
Shaun Miller (RW), 52 , 12 , 15 , 19 , 0 
Peyton Hoyt (RW), 57 , 12 , 15 , 43 , -6 
Will Thompson (D), 65 , 4 , 23 , 47 , 11 
 Charlottetown Islanders , 31 , 2 , 6 , 19 , 11 
 Gatineau Olympiques , 34 , 2 , 17 , 28 , 0 
Jeremy McKenna (RW), 66 , 16 , 10 , 20 , -38 
Declan Smith (C), 65 , 8 , 18 , 53 , 13 
Noah Dobson (D), 63 , 7 , 19 , 40 , 34 
Jérémie Beaudin (D), 54 , 4 , 22 , 16 , -12 
Hunter Moreau (LW), 47 , 12 , 13 , 18 , 0 
Noah Corson (C/LW), 61 , 10 , 15 , 77 , 1 
 Drummondville Voltigeurs , 30 , 4 , 9 , 40 , -1 
 Baie-Comeau Drakkar , 31 , 6 , 6 , 37 , 2 
Julien Tessier (C), 38 , 9 , 16 , 14 , -36 
 Chicoutimi Saguenéens , 4 , 1 , 0 , 0 , -2 
 Moncton Wildcats , 34 , 8 , 16 , 14 , -34 
Samuel Guilbault (LW), 43 , 9 , 16 , 15 , 10 
Adam Capannelli (C/LW), 66 , 5 , 20 , 51 , -45 
Marc-Olivier Duquette (D), 68 , 4 , 21 , 39 , -15 
Mathieu Olivier (RW), 58 , 9 , 15 , 102 , 4 
Dominic Cormier (D), 68 , 6 , 18 , 34 , -4 
Tristan Pomerleau (D), 44 , 5 , 19 , 36 , 21 
Samuel L'Italien (C), 51 , 4 , 20 , 14 , 15 
Jocktan Chainey (D), 55 , 4 , 20 , 44 , -25 
Brendan Hamelin (RW), 60 , 13 , 10 , 29 , -13 
Nicolas Guay (RW), 35 , 10 , 13 , 30 , -11 
Raphael Harvey-Pinard (LW), 50 , 10 , 13 , 6 , 8 
Félix Robert (C), 45 , 7 , 16 , 14 , -7 
William Poirier (RW), 67 , 6 , 17 , 50 , -19 
Axel Simic (C/RW), 56 , 5 , 18 , 12 , -7 
 Blainville-Boisbriand Armada , 31 , 3 , 10 , 10 , 7 
 Moncton Wildcats , 25 , 2 , 8 , 2 , -14 
Joel Bishop (LW/C), 65 , 3 , 20 , 69 , -12 
Raphaël Maheux (D), 68 , 0 , 23 , 40 , -17 
German Rubtsov (C), 16 , 9 , 13 , 4 , 11 
Anthony Boucher (C), 66 , 9 , 13 , 33 , -17 
Olivier Desjardins (D), 68 , 4 , 18 , 29 , 13 
Julien Bahl (D), 62 , 2 , 20 , 54 , -21 
William Bower (C), 64 , 12 , 9 , 66 , -9 
 Moncton Wildcats , 31 , 5 , 4 , 33 , -10 
 Charlottetown Islanders , 33 , 7 , 5 , 33 , 1 
Mika Cyr (C/LW), 35 , 10 , 11 , 6 , -23 
Anthony Poulin (C), 63 , 6 , 15 , 32 , 7 
Jimmy Huntington (C), 64 , 6 , 15 , 31 , -2 
Samuel Thibault (D), 68 , 6 , 15 , 81 , 10 
Adam McCormick (D), 51 , 5 , 16 , 10 , 1 
David Henley (D), 55 , 5 , 16 , 106 , -5 
Zachary Lauzon (D), 63 , 3 , 18 , 90 , 42 
Simon Le Coultre (D), 66 , 3 , 18 , 67 , -43 
Yan Aucoin (D), 68 , 3 , 18 , 51 , 9 
Nicolas Ouellet (RW), 59 , 11 , 9 , 12 , -6 
Liam Murphy (LW), 67 , 11 , 9 , 47 , -60 
Yannik Bertrand (LW), 60 , 9 , 11 , 118 , 2 
Vincent Lapalme (F), 66 , 9 , 11 , 26 , 0 
Chase Harwell (RW), 54 , 8 , 12 , 76 , -1 
 Sherbrooke Phoenix , 25 , 5 , 4 , 35 , -2 
 Victoriaville Tigres , 29 , 3 , 8 , 41 , 1 
Keigan Goetz (RW), 59 , 8 , 12 , 144 , -3 
Alexandre Grisé (C), 61 , 8 , 12 , 31 , -18 
Louis-Filip Côté (LW), 65 , 7 , 13 , 12 , -31 
Alex-Olivier Voyer (RW), 65 , 7 , 13 , 102 , -27 
Austin Eastman (LW), 41 , 6 , 14 , 10 , -2 
 Gatineau Olympiques , 19 , 2 , 5 , 4 , -1 
 Victoriaville Tigres , 22 , 4 , 9 , 6 , -1 
Gabriel Bilodeau (D), 60 , 5 , 15 , 50 , -6 
Alexandre Bernier (D), 55 , 4 , 16 , 45 , -11 
Jason Bell (D), 55 , 3 , 17 , 35 , 1 
Lane Cormier (RW), 54 , 12 , 7 , 110 , -8 
 Moncton Wildcats , 33 , 6 , 5 , 73 , -15 
 Rouyn-Noranda Huskies , 21 , 6 , 2 , 37 , 7 
Thomas Éthier (LW), 56 , 8 , 11 , 23 , 4 
Saku Vesterinen (D), 57 , 3 , 16 , 16 , 26 
Ben Higgins (RW), 59 , 13 , 5 , 12 , -4 
Édouard St-Laurent (C), 41 , 8 , 10 , 10 , -5 
Cooper Jones (D), 67 , 6 , 12 , 47 , 8 
Antoine Demers (C), 64 , 4 , 14 , 6 , 4 
Gabriel Fortier (LW), 25 , 11 , 6 , 4 , -2 
Alex Renaud (LW), 33 , 10 , 7 , 25 , -30 
Antoine Girard (C), 60 , 10 , 7 , 75 , 4 
Samuel Blier (LW), 63 , 9 , 8 , 36 , -1 
Anthony Wojcik (LW), 58 , 8 , 9 , 95 , -30 
 Rouyn-Noranda Huskies , 30 , 1 , 3 , 51 , -5 
 Moncton Wildcats , 28 , 7 , 6 , 44 , -25 
Benjamin Gagné (D), 58 , 6 , 11 , 46 , -6 
 Drummondville Voltigeurs , 26 , 4 , 7 , 32 , -5 
 Québec Remparts , 32 , 2 , 4 , 14 , -1 
Antoine Marcoux (C), 59 , 6 , 11 , 12 , -16 
Duncan MacIntyre (D), 60 , 6 , 11 , 32 , -49 
 Cape Breton Screaming Eagles , 10 , 1 , 2 , 6 , 7 
 Moncton Wildcats , 50 , 5 , 9 , 26 , -56 
Tobie Bisson (D), 66 , 6 , 11 , 19 , 26 
 Cape Breton Screaming Eagles , 38 , 3 , 7 , 15 , 13 
 Blainville-Boisbriand Armada , 28 , 3 , 4 , 4 , 13 
Alexandre Landreville (C), 68 , 6 , 11 , 61 , -12 
Samuel Naud (RW), 60 , 3 , 14 , 38 , 16 
Jesse Sutton (C), 52 , 8 , 8 , 4 , -16 
Jonathan Deschamps (D), 64 , 8 , 8 , 34 , 18 
Vincent Milot-Ouellet (RW), 40 , 7 , 9 , 10 , -10 
Jonathan Bourcier (C), 29 , 6 , 10 , 18 , 0 
 Acadie-Bathurst Titan , 12 , 4 , 3 , 12 , 3 
 Québec Remparts , 17 , 2 , 7 , 6 , -3 
Marc-Olivier Crevier-Morin (D), 68 , 6 , 10 , 110 , 1 
Cédric Paré (C), 64 , 5 , 11 , 26 , -6 
Louis-Philippe Simard (F/C), 63 , 2 , 14 , 23 , 3 
Vincent Senez-Allaire (RW), 53 , 7 , 8 , 32 , 15 
Mathieu Desgagnés (LW), 47 , 6 , 9 , 4 , 0 
Tyler Hinam (RW), 57 , 6 , 9 , 25 , -3 
Nicolas Roy (C), 60 , 6 , 9 , 6 , -11 
Kevin Gilbert (RW), 36 , 5 , 10 , 22 , -8 
Zachary Lavigne (LW), 65 , 5 , 10 , 18 , -12 
Ryan DaSilva (D), 54 , 4 , 11 , 18 , -7 
Hugo Després (C), 56 , 4 , 11 , 14 , 19 
Yannick Turcotte (LW), 60 , 4 , 11 , 82 , -12 
Jake Barter (D), 61 , 4 , 11 , 59 , 8 
 Charlottetown Islanders , 33 , 3 , 7 , 26 , -2 
 Gatineau Olympiques , 28 , 1 , 4 , 33 , 10 
Mathieu Charlebois (D), 61 , 2 , 13 , 102 , 16 
Samuel Leblanc (F), 54 , 7 , 7 , 4 , 3 
Samuel Gaumond (C), 54 , 7 , 7 , 18 , -2 
Félix Meunier (F), 54 , 7 , 7 , 23 , -17 
Matt Green (LW), 45 , 6 , 8 , 18 , 8 
Kyle Ward (LW), 57 , 6 , 8 , 124 , 4 
Matt Jones (RW/LW), 21 , 5 , 9 , 19 , -2 
Christopher Benoit (F), 61 , 5 , 9 , 38 , -2 
Taylor Ford (D), 63 , 4 , 10 , 76 , 11 
 Halifax Mooseheads , 37 , 2 , 6 , 42 , 2 
 Rouyn-Noranda Huskies , 26 , 2 , 4 , 34 , 9 
Julien Carignan-Labbé (D), 68 , 4 , 10 , 57 , -7 
Jordan Lepage (D), 61 , 0 , 14 , 117 , -10 
