player_name,gp,g,a,pim,plus_minus
 Swift Current Broncos , 52 , 5 , 2 , 42 , -7 
Jacob Dietrich (C), 62 , 5 , 2 , 50 , -22 
 Moose Jaw Warriors , 13 , 1 , 0 , 7 , 0 
 Lethbridge Hurricanes , 49 , 4 , 2 , 43 , -22 
Ian McKenzie (RW), 42 , 4 , 3 , 68 , -4 
Devon LeBlanc (LW), 64 , 4 , 3 , 28 , -7 
Neil Kodman (C), 40 , 3 , 4 , 10 , -7 
Kris Deines (LW), 59 , 3 , 4 , 144 , -2 
 Prince George Cougars , 1 , 0 , 0 , 0 , 0 
 Calgary Hitmen , 58 , 3 , 4 , 144 , -2 
John Flatters (D), 65 , 3 , 4 , 140 , 1 
 Red Deer Rebels , 14 , 0 , 1 , 45 , -4 
