EP_href,EP_id,first,last,league,position,season,gp,g,a,plus_minus
https://www.eliteprospects.com/player/45595/jason-shaw,45595,jason,shaw,ohl,D,2011-2012,44,1,16,21.0
https://www.eliteprospects.com/player/39513/nick-quinn,39513,nick,quinn,ohl,D,2011-2012,54,1,16,5.0
https://www.eliteprospects.com/player/92062/dylan-staples,92062,dylan,staples,ohl,RW,2011-2012,51,9,7,-3.0
https://www.eliteprospects.com/player/72754/max-iafrate,72754,max,iafrate,ohl,D,2011-2012,62,6,10,1.0
https://www.eliteprospects.com/player/19612/brock-beukeboom,19612,brock,beukeboom,ohl,D,2011-2012,47,5,11,22.0
https://www.eliteprospects.com/player/91624/cody-payne,91624,cody,payne,ohl,RW,2011-2012,60,5,11,-2.0
https://www.eliteprospects.com/player/116967/carter-verhaeghe,116967,carter,verhaeghe,ohl,C/LW,2011-2012,62,4,12,6.0
https://www.eliteprospects.com/player/62570/kris-grant,62570,kris,grant,ohl,D,2011-2012,56,3,13,-61.0
https://www.eliteprospects.com/player/91686/gianluca-curcuruto,91686,gianluca,curcuruto,ohl,D,2011-2012,63,3,13,-14.0
https://www.eliteprospects.com/player/45537/michael-whaley,45537,michael,whaley,ohl,C/LW,2011-2012,67,3,13,14.0
https://www.eliteprospects.com/player/20706/jarred-tinordi,20706,jarred,tinordi,ohl,D,2011-2012,48,2,14,39.0
https://www.eliteprospects.com/player/45590/jimmy-mcdowell,45590,jimmy,mcdowell,ohl,D,2011-2012,59,2,14,-5.0
https://www.eliteprospects.com/player/45601/alex-cord,45601,alex,cord,ohl,D,2011-2012,64,1,15,-10.0
https://www.eliteprospects.com/player/31583/brandon-archibald,31583,brandon,archibald,ohl,D,2011-2012,67,1,15,8.0
https://www.eliteprospects.com/player/110816/stephen-pierog,110816,stephen,pierog,ohl,C,2011-2012,61,9,6,-13.0
https://www.eliteprospects.com/player/36716/ben-dubois,36716,ben,dubois,ohl,C,2011-2012,40,8,7,4.0
https://www.eliteprospects.com/player/97335/brett-gustavsen,97335,brett,gustavsen,ohl,LW,2011-2012,60,8,7,-1.0
https://www.eliteprospects.com/player/97881/spenser-cobbold,97881,spenser,cobbold,ohl,LW,2011-2012,62,8,7,-7.0
https://www.eliteprospects.com/player/92679/justin-rasmussen,92679,justin,rasmussen,ohl,C,2011-2012,64,7,8,-10.0
https://www.eliteprospects.com/player/66434/peter-ceresnak,66434,peter,ceresnak,ohl,D,2011-2012,61,6,9,-1.0
https://www.eliteprospects.com/player/45536/craig-duininck,45536,craig,duininck,ohl,D,2011-2012,59,5,10,-22.0
https://www.eliteprospects.com/player/45557/brandon-francisco,45557,brandon,francisco,ohl,LW/RW,2011-2012,62,5,10,-6.0
https://www.eliteprospects.com/player/76158/brandon-devlin,76158,brandon,devlin,ohl,D,2011-2012,55,4,11,6.0
https://www.eliteprospects.com/player/33892/nathan-chiarlitti,33892,nathan,chiarlitti,ohl,D,2011-2012,60,4,11,5.0
https://www.eliteprospects.com/player/44665/ben-fanelli,44665,ben,fanelli,ohl,D,2011-2012,67,4,11,19.0
https://www.eliteprospects.com/player/45585/emerson-clark,45585,emerson,clark,ohl,LW,2011-2012,50,12,2,6.0
https://www.eliteprospects.com/player/76687/matia-marcantuoni,76687,matia,marcantuoni,ohl,C/LW,2011-2012,24,9,5,2.0
https://www.eliteprospects.com/player/126917/brent-pedersen,126917,brent,pedersen,ohl,LW,2011-2012,65,9,5,-10.0
https://www.eliteprospects.com/player/43428/david-elsner,43428,david,elsner,ohl,RW,2011-2012,48,7,7,-4.0
https://www.eliteprospects.com/player/117322/justin-auger,117322,justin,auger,ohl,RW,2011-2012,58,7,7,-9.0
https://www.eliteprospects.com/player/86035/anthony-cortellessa,86035,anthony,cortellessa,ohl,LW,2011-2012,66,7,7,-34.0
https://www.eliteprospects.com/player/37725/brendan-childerley,37725,brendan,childerley,ohl,RW,2011-2012,57,6,8,-1.0
https://www.eliteprospects.com/player/45575/luke-hietkamp,45575,luke,hietkamp,ohl,RW,2011-2012,54,5,9,-13.0
https://www.eliteprospects.com/player/145951/nick-betz,145951,nick,betz,ohl,RW,2011-2012,61,5,9,-24.0
https://www.eliteprospects.com/player/41318/curtis-crombeen,41318,curtis,crombeen,ohl,D,2011-2012,60,3,11,28.0
https://www.eliteprospects.com/player/82643/luke-mercer,82643,luke,mercer,ohl,D,2011-2012,65,3,11,32.0
https://www.eliteprospects.com/player/83357/justin-kea,83357,justin,kea,ohl,C,2011-2012,65,3,11,-4.0
https://www.eliteprospects.com/player/75625/eric-diodati,75625,eric,diodati,ohl,D,2011-2012,63,2,12,-10.0
https://www.eliteprospects.com/player/37650/jonathan-jasper,37650,jonathan,jasper,ohl,D,2011-2012,62,1,13,-15.0
https://www.eliteprospects.com/player/88039/marcus-mcivor,88039,marcus,mcivor,ohl,D,2011-2012,64,1,13,-1.0
https://www.eliteprospects.com/player/32730/mike-schwindt,32730,mike,schwindt,ohl,D,2011-2012,67,1,13,-26.0
https://www.eliteprospects.com/player/60579/mac-mcdonnell,60579,mac,mcdonnell,ohl,LW,2011-2012,62,7,6,-28.0
https://www.eliteprospects.com/player/45409/carter-sandlak,45409,carter,sandlak,ohl,LW,2011-2012,34,6,7,-1.0
https://www.eliteprospects.com/player/13669/david-corrente,13669,david,corrente,ohl,D,2011-2012,41,3,10,-8.0
https://www.eliteprospects.com/player/116968/jacob-harris,116968,jacob,harris,ohl,C/W,2011-2012,46,3,10,4.0
https://www.eliteprospects.com/player/76849/jordan-auld,76849,jordan,auld,ohl,D,2011-2012,65,2,11,1.0
https://www.eliteprospects.com/player/45570/colin-macdonald,45570,colin,macdonald,ohl,D,2011-2012,54,1,12,22.0
https://www.eliteprospects.com/player/33649/chris-buonomo,33649,chris,buonomo,ohl,D,2011-2012,67,1,12,6.0
https://www.eliteprospects.com/player/151451/jimmy-lodge,151451,jimmy,lodge,ohl,C/RW,2011-2012,45,8,4,-10.0
https://www.eliteprospects.com/player/45577/daniel-zweep,45577,daniel,zweep,ohl,LW,2011-2012,64,7,5,6.0
https://www.eliteprospects.com/player/64724/dylan-fitze,64724,dylan,fitze,ohl,RW,2011-2012,64,6,6,-6.0
https://www.eliteprospects.com/player/76435/erik-bradford,76435,erik,bradford,ohl,C,2011-2012,56,5,7,-9.0
https://www.eliteprospects.com/player/45609/reid-mcneill,45609,reid,mcneill,ohl,D,2011-2012,51,3,9,9.0
