,_id,ep_id,season,team,league,games_played,goals,assists,penalty_min,plus_minus
8720,5e0a71b5b796e999afd8fd5c,11105,2006-07,Belleville Bulls,OHL,66,54,75,52,6
8721,5e0a71b5b796e999afd8fd5e,11105,2007-08,Binghamton Senators,AHL,53,6,12,26,-8
8722,5e0a71b5b796e999afd8fd60,11105,,Elmira Jackals,ECHL,5,0,3,0,-1
8723,5e0a71b5b796e999afd8fd62,11105,2008-09,Elmira Jackals,ECHL,15,6,14,2,-4
8724,5e0a71b5b796e999afd8fd64,11105,,Philadelphia Phantoms,AHL,4,0,1,0,-1
8725,5e0a71b5b796e999afd8fd66,11105,,Elmira Jackals,ECHL,67,38,76,52,21
8726,5e0a71b5b796e999afd8fd68,11105,2010-11,Connecticut Whale,AHL,9,0,0,0,-3
8727,5e0a71b5b796e999afd8fd6a,11105,,Elmira Jackals,ECHL,18,10,11,34,0
8728,5e0a71b5b796e999afd8fd6c,11105,2011-12,Chicago Express,ECHL,46,14,47,29,0
8729,5e0a71b5b796e999afd8fd6e,11105,2014-15,Brampton Beast,ECHL,25,9,14,46,-6
8730,5e0a71b5b796e999afd8fd70,11105,2015-16,Stoney Creek Generals,ACH,17,9,15,16,
8731,5e0a71b5b796e999afd8fd72,11105,2016-17,Stoney Creek Generals,ACH,17,12,16,0,
8732,5e0a71b5b796e999afd8fd74,11105,2017-18,Stoney Creek Generals,ACH,14,6,17,2,
8733,5e0a71b5b796e999afd8fd76,11105,2018-19,Stoney Creek Generals,ACH,14,7,13,0,
8734,5e0a71b5b796e999afd8fd78,11105,2019-20,Brantford Blast,ACH,1,1,1,0,
8735,5e0a71b7b796e999afd8fd7b,31921,2003-04,Dauphin Kings,MJHL,20,0,4,109,-2
8736,5e0a71b7b796e999afd8fd7d,31921,,Brandon Wheat Kings,WHL,18,0,0,38,-2
8737,5e0a71b7b796e999afd8fd7f,31921,2004-05,Dauphin Kings,MJHL,5,0,2,45,
8738,5e0a71b7b796e999afd8fd81,31921,,Calgary Hitmen,WHL,40,0,4,94,3
8739,5e0a71b7b796e999afd8fd83,31921,2006-07,Dauphin Kings,MJHL,56,23,26,343,
8740,5e0a71b7b796e999afd8fd85,31921,2007-08,Oklahoma City Blazers,CHL,14,0,2,81,6
8741,5e0a71b7b796e999afd8fd87,31921,,Laredo Bucks,CHL,22,1,0,69,11
8742,5e0a71b7b796e999afd8fd89,31921,2008-09,Oklahoma City Blazers,CHL,54,2,7,153,4
8743,5e0a71bab796e999afd8fd8c,17939,2000-01,Brampton Battalion,OHL,56,0,1,18,8
8744,5e0a71bab796e999afd8fd8e,17939,2001-02,Brampton Battalion,OHL,43,1,9,14,-23
8745,5e0a71bab796e999afd8fd90,17939,2002-03,Guelph Storm,OHL,27,0,4,14,-3
8746,5e0a71bab796e999afd8fd92,17939,,Sault Ste. Marie Greyhounds,OHL,32,0,7,20,-7
8747,5e0a71bab796e999afd8fd94,17939,,Anchorage Aces,WCHL,5,0,0,2,-2
8748,5e0a71bab796e999afd8fd96,17939,2003-04,Aurora Tigers,OPJHL,40,14,33,32,
8749,5e0a71bab796e999afd8fd98,17939,2004-05,Dalhousie Univ.,USports,26,6,12,10,
8750,5e0a71bab796e999afd8fd9a,17939,2005-06,Dalhousie Univ.,USports,28,5,13,14,
8751,5e0a71bab796e999afd8fd9c,17939,,Reading Royals,ECHL,23,0,4,8,
8752,5e0a71bab796e999afd8fd9e,17939,2006-07,Dayton Bombers,ECHL,67,5,15,26,0
8753,5e0a71bab796e999afd8fda0,17939,2007-08,Phoenix Roadrunners,ECHL,45,2,13,14,-14
8754,5e0a71bab796e999afd8fda2,17939,,Dayton Bombers,ECHL,28,4,5,17,-8
8755,5e0a71bcb796e999afd8fda5,1715,2005-06,Calgary Hitmen,WHL,59,22,21,47,15
8756,5e0a71bcb796e999afd8fda7,1715,2006-07,Calgary Hitmen,WHL,52,21,29,50,7
8757,5e0a71bcb796e999afd8fda9,1715,2010-11,Chicago Wolves,AHL,67,11,21,46,-14
8758,5e0a71bdb796e999afd8fdc0,199124,2011-12,Yorkton Terriers Bantam AA,SBAAHL,24,10,9,38,
8759,5e0a71bdb796e999afd8fdc2,199124,,Yorkton Harvest,SMHL,2,0,0,0,
8760,5e0a71bdb796e999afd8fdc4,199124,2012-13,Yorkton Harvest,SMHL,42,4,12,51,
8761,5e0a71bdb796e999afd8fdc6,199124,2013-14,Yorkton Harvest,SMHL,42,9,18,110,
8762,5e0a71bdb796e999afd8fdc8,199124,,Saskatoon Blades,WHL,10,0,0,2,1
8763,5e0a71bdb796e999afd8fdca,199124,,Yorkton Terriers,SJHL,1,0,0,2,
8764,5e0a71bdb796e999afd8fdcc,199124,2014-15,Saskatoon Blades,WHL,2,1,0,7,0
8765,5e0a71bdb796e999afd8fdce,199124,,Seattle Thunderbirds,WHL,68,2,10,30,0
8766,5e0a71bdb796e999afd8fdd0,199124,2015-16,Seattle Thunderbirds,WHL,69,5,11,88,15
8767,5e0a71bdb796e999afd8fdd2,199124,2016-17,"Seattle Thunderbirds 
“A”",WHL,71,7,25,92,45
8768,5e0a71bdb796e999afd8fdd4,199124,2017-18,"Seattle Thunderbirds 
“C”",WHL,64,9,38,119,15
8769,5e0a71bdb796e999afd8fdd6,199124,,San Antonio Rampage,AHL,4,1,0,2,-1
8770,5e0a71bdb796e999afd8fdd8,199124,2018-19,Utah Grizzlies,ECHL,58,11,12,78,2
8771,5e0a71bdb796e999afd8fdda,199124,2019-20,Allen Americans,ECHL,15,1,10,32,15
8772,5e0a71bdb796e999afd8fddc,199124,,Iowa Wild,AHL,12,0,1,19,-6
8773,5e0a71bfb796e999afd8fddf,351754,2014-15,Sask Valley Vipers Bantam AA,SBAAHL,31,14,14,30,
8774,5e0a71bfb796e999afd8fde1,351754,2015-16,Sask Valley Vipers Bantam AA,SBAAHL,30,28,25,60,
8775,5e0a71bfb796e999afd8fde3,351754,,Prince Albert Mintos,SMHL,1,1,1,0,
8776,5e0a71bfb796e999afd8fde5,351754,2016-17,Prince Albert Mintos,SMHL,42,42,17,55,
8777,5e0a71bfb796e999afd8fde7,351754,2017-18,Prince Albert Mintos,SMHL,9,4,7,14,
8778,5e0a71bfb796e999afd8fde9,351754,2018-19,Kamloops Blazers,WHL,64,13,5,47,-13
8779,5e0a71bfb796e999afd8fdeb,351754,2019-20,Kamloops Blazers,WHL,16,3,6,12,6
8780,5e0a71c2b796e999afd8fdee,11388,2003-04,"Greater Kingston Frontenacs Bntm 
“C”",ETABHL,-,-,-,-,
8781,5e0a71c2b796e999afd8fdf0,11388,2004-05,Greater Kingston Predators Mn Mdgt AAA,ETAMMHL,44,34,50,26,
8782,5e0a71c2b796e999afd8fdf2,11388,,Kingston Voyageurs,OPJHL,3,0,0,0,
8783,5e0a71c2b796e999afd8fdf4,11388,2005-06,Guelph Storm,OHL,61,11,8,30,1
8784,5e0a71c2b796e999afd8fdf6,11388,2006-07,Guelph Storm,OHL,68,31,31,51,7
8785,5e0a71c2b796e999afd8fdf8,11388,2007-08,Guelph Storm,OHL,20,9,4,16,-2
8786,5e0a71c2b796e999afd8fdfa,11388,,Sarnia Sting,OHL,40,18,16,22,-10
8787,5e0a71c2b796e999afd8fdfc,11388,2008-09,Sarnia Sting,OHL,63,32,36,28,1
8788,5e0a71c2b796e999afd8fdfe,11388,,Providence Bruins,AHL,0,0,0,0,0
8789,5e0a71c2b796e999afd8fe00,11388,2009-10,Providence Bruins,AHL,67,12,16,16,-6
8790,5e0a71c2b796e999afd8fe02,11388,2010-11,Boston Bruins,NHL,1,0,0,0,-1
8791,5e0a71c2b796e999afd8fe04,11388,,Providence Bruins,AHL,78,23,27,26,-10
8792,5e0a71c2b796e999afd8fe06,11388,2011-12,Providence Bruins,AHL,74,7,17,26,-17
8793,5e0a71c4b796e999afd8fe0a,57178,2000-01,Oshawa Generals,OHL,65,7,17,20,-23
8794,5e0a71c4b796e999afd8fe0c,57178,2001-02,Oshawa Generals,OHL,15,0,9,2,0
8795,5e0a71c4b796e999afd8fe0e,57178,,Owen Sound Attack,OHL,51,4,16,18,-11
8796,5e0a71c4b796e999afd8fe10,57178,2002-03,Owen Sound Attack,OHL,32,3,14,14,-19
8797,5e0a71c4b796e999afd8fe12,57178,,Oshawa Generals,OHL,22,2,5,8,-7
8798,5e0a71c6b796e999afd8fe17,300074,2013-14,Los Angeles Jr. Kings Bantam AAA,Bantam,16,19,16,46,
8799,5e0a71c6b796e999afd8fe19,300074,2014-15,Skipjacks Hockey Club 16U,USPHL 16U,24,22,23,48,
8800,5e0a71c6b796e999afd8fe1b,300074,2015-16,Saskatoon Blades,WHL,58,6,5,68,-14
8801,5e0a71c6b796e999afd8fe1d,300074,2016-17,Saskatoon Blades,WHL,20,0,3,22,-7
8802,5e0a71c6b796e999afd8fe1f,300074,,Red Deer Rebels,WHL,41,7,5,50,-5
8803,5e0a71c6b796e999afd8fe21,300074,2017-18,Kootenay Ice,WHL,70,21,22,56,-26
8804,5e0a71c6b796e999afd8fe23,300074,2018-19,"Kootenay Ice 
“A”",WHL,27,8,9,22,-18
8805,5e0a71c6b796e999afd8fe25,300074,,Red Deer Rebels,WHL,40,13,24,33,1
8806,5e0a71c6b796e999afd8fe27,300074,2019-20,"Red Deer Rebels 
“A”",WHL,34,8,14,41,-15
8807,5e0a71c9b796e999afd8fe2a,33557,2005-06,Thompson Blazers,BCMML,-,-,-,-,
8808,5e0a71c9b796e999afd8fe2c,33557,,Kamloops Blazers,WHL,1,0,0,0,
8809,5e0a71c9b796e999afd8fe2e,33557,2006-07,Kamloops Blazers,WHL,4,0,0,0,1
8810,5e0a71c9b796e999afd8fe30,33557,,Revelstoke Grizzlies,KIJHL,46,3,16,101,
8811,5e0a71c9b796e999afd8fe32,33557,2007-08,Kamloops Blazers,WHL,35,0,1,39,-4
8812,5e0a71c9b796e999afd8fe34,33557,2008-09,Kamloops Blazers,WHL,59,0,4,110,-1
8813,5e0a71c9b796e999afd8fe36,33557,2009-10,Prince George Cougars,WHL,54,4,9,83,-37
8814,5e0a71c9b796e999afd8fe38,33557,2010-11,Kamloops Storm,KIJHL,23,6,5,60,
8815,5e0a71cbb796e999afd8fe3b,41682,2006-07,Red Deer Chiefs Bantam AAA,AMBHL,33,3,8,48,
8816,5e0a71cbb796e999afd8fe3d,41682,2007-08,Red Deer Rebels Midget AAA,AMHL,3,0,1,4,
